iter	TotalF1:average=Weighted	MultiClass
148	0.9797517931	0.1181028225
149	0.9801391718	0.1176282369
150	0.980527679	0.1165597323
151	0.9809924848	0.1154579309
152	0.9809922918	0.114883258
153	0.9815337752	0.1142147087
154	0.9816884922	0.1136716819
155	0.9819222642	0.1131929078
156	0.9819996853	0.1130988007
157	0.9823092167	0.1126057398
158	0.9826189124	0.1117160585
159	0.983083751	0.1112106751
160	0.9832772702	0.1107543776
161	0.9835095573	0.1101908299
162	0.9840122651	0.1096854534
163	0.9840127369	0.1090617274
164	0.9842055673	0.1086535144
165	0.9840899271	0.1080432812
166	0.9843994228	0.1078811124
167	0.9845545131	0.1074344268
168	0.984979538	0.1067130218
169	0.9850955504	0.1061255807
170	0.9851720616	0.105773204
171	0.9856373413	0.1052933271
172	0.9857919657	0.104490308
173	0.9858316168	0.1036415592
174	0.9858700334	0.1033149502
175	0.9860253896	0.1027355668
176	0.9861028434	0.1024560774
177	0.9862575664	0.1020366724
178	0.9862186245	0.1015531221
179	0.9865286312	0.1009325886
180	0.9869547157	0.1004712953
181	0.9874585807	0.09992597469
182	0.9876910994	0.09953251343
183	0.9876128569	0.09892133334
184	0.9876903765	0.09862592962
185	0.9882324873	0.09804806617
186	0.9882320964	0.09769445889
187	0.9884257336	0.09749384787
188	0.9883869332	0.0972268953
189	0.9885807064	0.09686864804
190	0.9889678659	0.09633524188
191	0.9889677117	0.09592185348
192	0.9891615707	0.09553705513
193	0.9893938993	0.09525082313
194	0.9895101904	0.09485055003
195	0.9893550354	0.09452914696
196	0.9897424133	0.09389734631
197	0.9897424037	0.09346550846
198	0.9898968231	0.0931069652
199	0.9900902071	0.09262529854
200	0.9902451092	0.09245524227
201	0.9904773268	0.09207408958
202	0.9905932955	0.09163273765
203	0.990864409	0.09102860095
204	0.9909037054	0.09064169623
205	0.9909812422	0.09043385647
206	0.9911746787	0.08977650668
207	0.9913293423	0.08919000185
208	0.9913682288	0.08870714054
209	0.9915223669	0.08851421032
210	0.9916001534	0.08814031209
211	0.991832359	0.08778942383
212	0.9917936686	0.08767314479
213	0.9921424099	0.0870531773
214	0.9924135869	0.08644825865
215	0.9926069504	0.08617161469
216	0.9928005105	0.08584111425
217	0.9928007053	0.08554968697
218	0.9930330338	0.08517654798
219	0.9930327321	0.08488607904
220	0.9930714129	0.08466849185
221	0.9932263571	0.0842982276
222	0.9933037743	0.08408725177
223	0.9935748308	0.08352079725
224	0.9935748397	0.08348696582
